    i1 i2  dummy0 dummy1 scafac  m1    m2      angle LO[pb]   rel_error NLO[pb]   rel_error   K    LO_ms[pb] NLO_ms[pb]  
ll  0  0     0.0    0.0    1.0  402.5  402.5  0.000 0.147E-02 0.903E-03 0.173E-02 0.754E-03 1.1789 0.147E-02 0.173E-02
ll  1  0     0.0    0.0    1.0  402.6  402.6  0.000 0.105E-02 0.903E-03 0.124E-02 0.755E-03 1.1786 0.106E-02 0.124E-02
ll  2  0     0.0    0.0    1.0  402.4  402.4  0.000 0.411E-03 0.905E-03 0.485E-03 0.754E-03 1.1799 0.412E-03 0.486E-03
ll  3  0     0.0    0.0    1.0  395.0  395.0  0.000 0.106E-02 0.902E-03 0.125E-02 0.756E-03 1.1792 0.106E-02 0.125E-02
ll  4  0     0.0    0.0    1.0  402.6  395.0  0.000 0.288E-02 0.896E-03 0.333E-02 0.755E-03 1.1583 0.288E-02 0.334E-02
ll  5  0     0.0    0.0    1.0  402.6  395.0  0.000 0.115E-02 0.929E-03 0.138E-02 0.781E-03 1.2036 0.115E-02 0.138E-02
ll  6  0     0.0    0.0    1.0  382.6  382.6 -1.000 0.605E-03 0.905E-03 0.717E-03 0.754E-03 1.1843 0.606E-03 0.717E-03
ll  7  0     0.0    0.0    1.0  421.4  421.4 -1.000 0.401E-03 0.905E-03 0.471E-03 0.754E-03 1.1758 0.401E-03 0.472E-03
ll  8  0     0.0    0.0    1.0  382.6  421.4 -1.000 0.246E-03 0.902E-03 0.289E-03 0.756E-03 1.1772 0.246E-03 0.290E-03
ll  9  0     0.0    0.0    1.0  395.0  395.0  0.000 0.106E-02 0.902E-03 0.125E-02 0.756E-03 1.1792 0.106E-02 0.125E-02
ll 10  0     0.0    0.0    1.0  382.6  395.0 -1.000 0.159E-02 0.897E-03 0.185E-02 0.754E-03 1.1619 0.159E-02 0.185E-02
ll 11  0     0.0    0.0    1.0  382.6  395.0 -1.000 0.641E-03 0.929E-03 0.773E-03 0.780E-03 1.2055 0.642E-03 0.774E-03
ll 12  0     0.0    0.0    1.0  421.4  395.0 -1.000 0.131E-02 0.896E-03 0.151E-02 0.755E-03 1.1549 0.131E-02 0.151E-02
ll 13  0     0.0    0.0    1.0  421.4  395.0 -1.000 0.517E-03 0.929E-03 0.622E-03 0.781E-03 1.2019 0.518E-03 0.622E-03
ll 14  0     0.0    0.0    1.0 1502.4 1502.4  0.000 0.432E-06 0.900E-03 0.493E-06 0.718E-03 1.1430 0.432E-06 0.494E-06
tb  1  0     0.0    0.0    1.0 1926.6 1926.6 -0.978 0.986E-05 0.789E-03 0.228E-04 0.582E-03 2.3170 0.986E-05 0.228E-04
bb  1  0     0.0    0.0    1.0 2064.7 2064.7 -0.998 0.453E-05 0.789E-03 0.110E-04 0.577E-03 2.4314 0.453E-05 0.110E-04
tb  2  0     0.0    0.0    1.0 2130.7 2130.7  0.978 0.313E-05 0.789E-03 0.777E-05 0.576E-03 2.4786 0.313E-05 0.777E-05
bb  2  0     0.0    0.0    1.0 2075.6 2075.6  0.998 0.426E-05 0.789E-03 0.104E-04 0.577E-03 2.4429 0.426E-05 0.104E-04
sg  0  0     0.0    0.0    1.0 2069.7 2128.2  0.000 0.121E-02 0.120E-02  0.00      0.00     0.0000 0.121E-02  0.00    
gg  0  0     0.0    0.0    1.0 2128.2 2128.2  0.000 0.572E-04 0.846E-03 0.236E-03 0.976E-03 4.1245 0.572E-04 0.236E-03
nn  5  7     0.0    0.0    1.0  165.0  165.0  0.000  1.12     0.762E-03  1.44     0.618E-03 1.2875  1.14      1.46    
nn  6  8     0.0    0.0    1.0  333.6  333.6  0.000 0.334E-01 0.760E-03 0.415E-01 0.614E-03 1.2420 0.334E-01 0.415E-01
nn  5  8     0.0    0.0    1.0  165.0  333.6  0.000 0.652E-02 0.762E-03 0.819E-02 0.671E-03 1.2553 0.689E-02 0.864E-02
nn  6  7     0.0    0.0    1.0  333.6  165.0  0.000 0.652E-02 0.762E-03 0.818E-02 0.116E-02 1.2534 0.689E-02 0.863E-02
nn  1  5     0.0    0.0    1.0   61.7  165.0  0.000 0.210E-02 0.108E-02 0.263E-02 0.150E-02 1.2512 0.395E-02 0.494E-02
nn  2  5     0.0    0.0    1.0 -164.8  165.0  0.000  1.44     0.758E-03  1.84     0.610E-03 1.2797  1.46      1.87    
nn  3  5     0.0    0.0    1.0  314.2  165.0  0.000 0.155E-01 0.755E-03 0.194E-01 0.607E-03 1.2586 0.155E-01 0.194E-01
nn  4  5     0.0    0.0    1.0 -331.2  165.0  0.000 0.899E-02 0.771E-03 0.112E-01 0.681E-03 1.2417 0.960E-02 0.119E-01
nn  1  6     0.0    0.0    1.0   61.7  333.6  0.000 0.381E-02 0.762E-03 0.485E-02 0.608E-03 1.2752 0.248E-02 0.317E-02
nn  2  6     0.0    0.0    1.0 -164.8  333.6  0.000 0.801E-02 0.768E-03 0.993E-02 0.641E-03 1.2409 0.860E-02 0.107E-01
nn  3  6     0.0    0.0    1.0  314.2  333.6  0.000 0.339E-01 0.752E-03 0.419E-01 0.609E-03 1.2368 0.339E-01 0.419E-01
nn  4  6     0.0    0.0    1.0 -331.2  333.6  0.000 0.431E-01 0.753E-03 0.531E-01 0.612E-03 1.2333 0.431E-01 0.532E-01
nn  1  7     0.0    0.0    1.0   61.7  165.0  0.000 0.119E-02 0.207E-02 0.151E-02 0.199E-02 1.2694 0.235E-02 0.299E-02
nn  2  7     0.0    0.0    1.0 -164.8  165.0  0.000 0.799     0.790E-03  1.03     0.633E-03 1.2940 0.811      1.05    
nn  3  7     0.0    0.0    1.0  314.2  165.0  0.000 0.774E-02 0.798E-03 0.989E-02 0.635E-03 1.2773 0.774E-02 0.989E-02
nn  4  7     0.0    0.0    1.0 -331.2  165.0  0.000 0.452E-02 0.827E-03 0.569E-02 0.723E-03 1.2584 0.482E-02 0.606E-02
nn  1  8     0.0    0.0    1.0   61.7  333.6  0.000 0.194E-02 0.810E-03 0.251E-02 0.628E-03 1.2942 0.128E-02 0.165E-02
nn  2  8     0.0    0.0    1.0 -164.8  333.6  0.000 0.403E-02 0.835E-03 0.507E-02 0.696E-03 1.2580 0.432E-02 0.543E-02
nn  3  8     0.0    0.0    1.0  314.2  333.6  0.000 0.155E-01 0.792E-03 0.196E-01 0.640E-03 1.2635 0.155E-01 0.196E-01
nn  4  8     0.0    0.0    1.0 -331.2  333.6  0.000 0.196E-01 0.794E-03 0.247E-01 0.642E-03 1.2606 0.196E-01 0.247E-01
nn  1  1     0.0    0.0    1.0   61.7   61.7  0.000 0.841E-02 0.899E-03 0.108E-01 0.296E-01 1.2814 0.153E-02 0.196E-02
nn  1  2     0.0    0.0    1.0   61.7 -164.8  0.000 0.127E-02 0.102E-02 0.160E-02 0.208E-02 1.2566 0.296E-02 0.372E-02
nn  1  3     0.0    0.0    1.0   61.7  314.2  0.000 0.687E-03 0.807E-03 0.875E-03 0.656E-03 1.2733 0.587E-03 0.748E-03
nn  1  4     0.0    0.0    1.0   61.7 -331.2  0.000 0.242E-02 0.756E-03 0.314E-02 0.600E-03 1.2960 0.157E-02 0.203E-02
nn  2  2     0.0    0.0    1.0 -164.8 -164.8  0.000 0.124E-02 0.767E-03 0.149E-02 0.226E-01 1.2006 0.951E-03 0.114E-02
nn  2  3     0.0    0.0    1.0 -164.8  314.2  0.000 0.118E-01 0.758E-03 0.150E-01 0.608E-03 1.2722 0.117E-01 0.149E-01
nn  2  4     0.0    0.0    1.0 -164.8 -331.2  0.000 0.312E-03 0.792E-03 0.391E-03 0.156E-02 1.2516 0.265E-03 0.331E-03
nn  3  3     0.0    0.0    1.0  314.2  314.2  0.000 0.576E-05 0.816E-03 0.701E-05 0.671E-03 1.2188 0.576E-05 0.702E-05
nn  3  4     0.0    0.0    1.0  314.2 -331.2  0.000 0.252E-01 0.758E-03 0.315E-01 0.612E-03 1.2498 0.252E-01 0.315E-01
nn  4  4     0.0    0.0    1.0 -331.2 -331.2  0.000 0.221E-04 0.812E-03 0.269E-04 0.101E-02 1.2138 0.221E-04 0.269E-04
